"Statistic Label","Year","Age Group","Sex","Education Attainment Level","NUTS 2 Region","UNIT","VALUE"
"Annual employment rate","2022","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","46"
"Annual employment rate","2022","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","84.4"
"Annual employment rate","2022","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","77.8"
"Annual employment rate","2022","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","82.9"
"Annual employment rate","2022","45 - 49 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","88"
"Annual employment rate","2022","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","89.8"
"Annual employment rate","2022","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","90.2"
"Annual employment rate","2022","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","90.2"
"Annual employment rate","2022","45 - 49 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","89.5"
"Annual employment rate","2022","45 - 49 years","Both sexes","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","45 - 49 years","Male","Levels of Education (Levels  0-8)","Ireland","%","87.3"
"Annual employment rate","2022","45 - 49 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","87.9"
"Annual employment rate","2022","45 - 49 years","Male","Levels of Education (Levels  0-8)","Southern","%","85.1"
"Annual employment rate","2022","45 - 49 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","88.4"
"Annual employment rate","2022","45 - 49 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","45 - 49 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","60.9"
"Annual employment rate","2022","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","90.3"
"Annual employment rate","2022","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","86.6"
"Annual employment rate","2022","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","87.6"
"Annual employment rate","2022","45 - 49 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","93.6"
"Annual employment rate","2022","45 - 49 years","Male","Tertiary education (Levels 5-8)","Ireland","%","93.1"
"Annual employment rate","2022","45 - 49 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","94.6"
"Annual employment rate","2022","45 - 49 years","Male","Tertiary education (Levels 5-8)","Southern","%","90.3"
"Annual employment rate","2022","45 - 49 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","94.4"
"Annual employment rate","2022","45 - 49 years","Male","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","45 - 49 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","45 - 49 years","Female","Levels of Education (Levels  0-8)","Ireland","%","78.3"
"Annual employment rate","2022","45 - 49 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","73.8"
"Annual employment rate","2022","45 - 49 years","Female","Levels of Education (Levels  0-8)","Southern","%","79.9"
"Annual employment rate","2022","45 - 49 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","78.8"
"Annual employment rate","2022","45 - 49 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","45 - 49 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2022","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","77"
"Annual employment rate","2022","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","77.1"
"Annual employment rate","2022","45 - 49 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","80.8"
"Annual employment rate","2022","45 - 49 years","Female","Tertiary education (Levels 5-8)","Ireland","%","87.3"
"Annual employment rate","2022","45 - 49 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","86.8"
"Annual employment rate","2022","45 - 49 years","Female","Tertiary education (Levels 5-8)","Southern","%","90.1"
"Annual employment rate","2022","45 - 49 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","85.6"
"Annual employment rate","2022","45 - 49 years","Female","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","45 - 49 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","80.6"
"Annual employment rate","2022","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","82.4"
"Annual employment rate","2022","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","78.7"
"Annual employment rate","2022","50 - 54 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","81.4"
"Annual employment rate","2022","50 - 54 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","58.7"
"Annual employment rate","2022","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","57.9"
"Annual employment rate","2022","50 - 54 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","53"
"Annual employment rate","2022","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","78"
"Annual employment rate","2022","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","73.6"
"Annual employment rate","2022","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","78.6"
"Annual employment rate","2022","50 - 54 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","79.3"
"Annual employment rate","2022","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","89.5"
"Annual employment rate","2022","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","91.7"
"Annual employment rate","2022","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","87.3"
"Annual employment rate","2022","50 - 54 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","90.1"
"Annual employment rate","2022","50 - 54 years","Both sexes","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","50 - 54 years","Both sexes","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","50 - 54 years","Male","Levels of Education (Levels  0-8)","Ireland","%","88.9"
"Annual employment rate","2022","50 - 54 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","92"
"Annual employment rate","2022","50 - 54 years","Male","Levels of Education (Levels  0-8)","Southern","%","87.6"
"Annual employment rate","2022","50 - 54 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","88.5"
